position,person,personID,start,end
Member of the Parliament,Joyce Mpanga,Q55583703,1996,2001
Member of the Parliament,Isaac Musumba,Q6076821,1996,2011
Member of the Parliament,Aggrey Awori,Q393388,2001,2006
Member of the Parliament,Amama Mbabazi,Q57873,2003-02-11,2016-02-18
Member of the Parliament,Chris Baryomunsi,Q16875907,2006,
Member of the Parliament,Winnie Kiiza,Q42664267,2006,2021
Member of the Parliament,Jacob Oulanyah,Q6119076,2011,2022-03-20
Member of the Parliament,Robinah Nabbanja,Q62481397,2011,
Member of the Parliament,Kipoi Tonny Nsubuga,Q6414662,2011,2014
Member of the Parliament,Jane Aceng,Q24572616,2016,
Member of the Parliament,Ibrahim Abiriga,Q54874973,2016,2018-06-08
Member of the Parliament,Loy Katali,Q62099975,2016,
Member of the Parliament,Rose Kabagyeni,Q89370497,2016,
Member of the Parliament,Lawrence Akugizibwe,Q30110261,2016-05-16,
Member of the Parliament,Bobi Wine,Q4935806,2017-07-11,
Member of the Parliament,Betty Esther Naluyima,Q105906548,2021,
Member of the Parliament,Agnes Nandutu,Q54233287,2021,
